UniProt	GeneSym
Q6ZNI0	GCNT7
Q9BSJ2	TUBGCP2
Q8WXX0	DNAH7
Q96JB1	DNAH8
Q96RT7	TUBGCP6
Q8WWB3	DYDC1
Q96IM9	DYDC2
Q6ZR08	DNAH12
Q0VDD8	DNAH14
Q9UFH2	DNAH17
Q8TD57	DNAH3
P63167	DYNLL1
P51808	DYNLT3
Q7RTS9	DYM
P50570	DNM2
Q9Y463	DYRK1B
Q9UQ16	DNM3
Q86XF0	DHFR2
Q92630	DYRK2
O43781	DYRK3
Q9NR20	DYRK4
Q9NVP4	DZANK1
Q8IYY4	DZIP1L
Q8N6F7	GCSAM
Q9BQI3	EIF2AK1
P19525	EIF2AK2
Q16254	E2F4
Q15329	E2F5
Q9NZJ5	EIF2AK3
Q9P2K8	EIF2AK4
A0AVK6	E2F8
P23434	GCSH
Q9H4G0	EPB41L1
Q9HCM4	EPB41L5
Q96JC9	EAF1
Q96CJ1	EAF2
P0CF75	EBLN1
P43026	GDF5
P13639	EEF2
Q6KF10	GDF6
A4FU69	EFCAB5
A8K855	EFCAB7
Q96RP9	GFM1
P07093	SERPINE2
Q8N9F7	GDPD1
P51530	DNA2
P78352	DLG4
Q8N1N2	DYNAP
P00374	DHFR
O75923	DYSF
Q03001	DST
A2CJ06	DYTN
Q86YF9	DZIP1
Q86Y13	DZIP3
O00716	E2F3
O75461	E2F6
Q96AV8	E2F7
Q01094	E2F1
O43491	EPB41L2
Q9Y2J2	EPB41L3
P43005	SLC1A1
O00341	SLC1A7
